[Head]
Converter = SampleTxtConverter
Version = 1
[Item]
SampleID = Exp343.2
TestDate = 2025-06-03
Operator = 
Length = 85
Width = 20
Thickness = 0.117
So = 2.34
Lo = 100
Fm = 29.21
Rm = 12.4829059
Bf(kN/mm) = 1.4605
Fb = 0.03
Rb = 0.01282051
Fy = /
Ry = 
E(GPa) = -0.1112673
Slope = -2.603656
[Curve]
[Specimen0]
Time	Load	Extension	Displacement
3.000	1.03	-0.2090	-0.2100
3.020	1.04	-0.2100	-0.2100
3.040	1.05	-0.2130	-0.2100
3.060	1.06	-0.2150	-0.2100
3.080	1.07	-0.2160	-0.2200
3.100	1.08	-0.2180	-0.2200
3.120	1.09	-0.2200	-0.2200
3.140	1.10	-0.2210	-0.2200
3.160	1.11	-0.2230	-0.2200
3.180	1.11	-0.2240	-0.2200
3.200	1.13	-0.2260	-0.2300
3.220	1.14	-0.2270	-0.2300
3.240	1.15	-0.2290	-0.2300
3.260	1.15	-0.2320	-0.2300
3.280	1.17	-0.2330	-0.2300
3.300	1.17	-0.2350	-0.2300
3.320	1.18	-0.2360	-0.2400
3.340	1.20	-0.2380	-0.2400
3.360	1.20	-0.2390	-0.2400
3.380	1.21	-0.2410	-0.2400
3.400	1.22	-0.2420	-0.2400
3.420	1.23	-0.2440	-0.2400
3.440	1.24	-0.2450	-0.2500
3.460	1.25	-0.2480	-0.2500
3.480	1.26	-0.2500	-0.2500
3.500	1.26	-0.2520	-0.2500
3.520	1.28	-0.2530	-0.2500
3.540	1.29	-0.2550	-0.2500
3.560	1.30	-0.2560	-0.2600
3.580	1.31	-0.2580	-0.2600
3.600	1.32	-0.2590	-0.2600
3.620	1.33	-0.2610	-0.2600
3.640	1.34	-0.2620	-0.2600
3.660	1.35	-0.2640	-0.2600
3.680	1.36	-0.2670	-0.2700
3.700	1.37	-0.2680	-0.2700
3.720	1.38	-0.2700	-0.2700
3.740	1.39	-0.2710	-0.2700
3.760	1.40	-0.2730	-0.2700
3.780	1.41	-0.2740	-0.2700
3.800	1.42	-0.2760	-0.2800
3.820	1.43	-0.2770	-0.2800
3.840	1.44	-0.2790	-0.2800
3.860	1.44	-0.2800	-0.2800
3.880	1.46	-0.2840	-0.2800
3.900	1.47	-0.2850	-0.2900
3.920	1.48	-0.2870	-0.2900
3.940	1.49	-0.2880	-0.2900
3.960	1.49	-0.2900	-0.2900
3.980	1.50	-0.2910	-0.2900
4.000	1.51	-0.2930	-0.2900
4.020	1.52	-0.2940	-0.2900
4.040	1.53	-0.2960	-0.3000
4.060	1.54	-0.2970	-0.3000
4.080	1.55	-0.2990	-0.3000
4.100	1.56	-0.3000	-0.3000
4.120	1.57	-0.3030	-0.3000
4.140	1.58	-0.3050	-0.3000
4.160	1.59	-0.3060	-0.3100
4.180	1.60	-0.3080	-0.3100
4.200	1.61	-0.3090	-0.3100
4.220	1.62	-0.3110	-0.3100
4.240	1.62	-0.3130	-0.3100
4.260	1.64	-0.3140	-0.3100
4.280	1.65	-0.3160	-0.3200
4.300	1.66	-0.3190	-0.3200
4.320	1.67	-0.3200	-0.3200
4.340	1.68	-0.3220	-0.3200
4.360	1.68	-0.3230	-0.3200
4.380	1.69	-0.3250	-0.3200
4.400	1.70	-0.3260	-0.3300
4.420	1.71	-0.3280	-0.3300
4.440	1.72	-0.3290	-0.3300
4.460	1.73	-0.3310	-0.3300
4.480	1.74	-0.3320	-0.3300
4.500	1.75	-0.3340	-0.3300
4.520	1.76	-0.3350	-0.3400
4.540	1.77	-0.3370	-0.3400
4.560	1.78	-0.3400	-0.3400
4.580	1.79	-0.3410	-0.3400
4.600	1.79	-0.3430	-0.3400
4.620	1.80	-0.3450	-0.3400
4.640	1.82	-0.3460	-0.3500
4.660	1.82	-0.3480	-0.3500
4.680	1.83	-0.3490	-0.3500
4.700	1.84	-0.3510	-0.3500
4.720	1.85	-0.3520	-0.3500
4.740	1.86	-0.3550	-0.3600
4.760	1.87	-0.3570	-0.3600
4.780	1.88	-0.3580	-0.3600
4.800	1.89	-0.3600	-0.3600
4.820	1.90	-0.3610	-0.3600
4.840	1.91	-0.3630	-0.3600
4.860	1.92	-0.3640	-0.3600
4.880	1.93	-0.3660	-0.3700
