[Head]
Converter = SampleTxtConverter
Version = 1
[Item]
SampleID = Exp343.2
TestDate = 2025-06-04
Operator = 
Length = 85
Width = 20
Thickness = 0.117
So = 2.34
Lo = 100
Fm = 29.5
Rm = 12.6068376
Bf(kN/mm) = 1.475
Fb = -0.12
Rb = -0.0512820
Fy = /
Ry = 
E(GPa) = -0.1025362
Slope = -2.399349
[Curve]
[Specimen0]
Time	Load	Extension	Displacement
0.000	0.00	0.0000	0.0000
0.020	0.00	0.0000	0.0000
0.040	0.00	0.0000	0.0000
0.060	0.00	0.0000	0.0000
0.080	0.00	0.0000	0.0000
0.100	0.00	0.0000	0.0000
0.120	0.00	0.0000	0.0000
0.140	0.00	0.0000	0.0000
0.160	0.00	-0.0020	0.0000
0.180	0.00	-0.0020	0.0000
0.200	0.00	-0.0020	0.0000
0.220	0.00	-0.0020	0.0000
0.240	0.00	-0.0020	0.0000
0.260	0.00	-0.0020	0.0000
0.280	0.00	-0.0030	0.0000
0.300	0.00	-0.0030	0.0000
0.320	0.00	-0.0050	0.0000
0.340	0.00	-0.0050	0.0000
0.360	0.01	-0.0060	-0.0100
0.380	0.01	-0.0060	-0.0100
0.400	0.02	-0.0080	-0.0100
0.420	0.02	-0.0080	-0.0100
0.440	0.02	-0.0090	-0.0100
0.460	0.02	-0.0090	-0.0100
0.480	0.03	-0.0110	-0.0100
0.500	0.03	-0.0120	-0.0100
0.520	0.04	-0.0120	-0.0100
0.540	0.05	-0.0140	-0.0100
0.560	0.05	-0.0140	-0.0100
0.580	0.06	-0.0150	-0.0200
0.600	0.06	-0.0170	-0.0200
0.620	0.07	-0.0180	-0.0200
0.640	0.07	-0.0180	-0.0200
0.660	0.08	-0.0200	-0.0200
0.680	0.09	-0.0210	-0.0200
0.700	0.09	-0.0230	-0.0200
0.720	0.10	-0.0230	-0.0200
0.740	0.10	-0.0240	-0.0200
0.760	0.11	-0.0260	-0.0300
0.780	0.12	-0.0270	-0.0300
0.800	0.12	-0.0290	-0.0300
0.820	0.13	-0.0300	-0.0300
0.840	0.14	-0.0320	-0.0300
0.860	0.14	-0.0340	-0.0300
